Electrophile,Nucleophile,Ligand,Base,Solvent,Yld
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[OH-].[Na+],CO,54.51
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[OH-].[Na+],CO,63.70
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[OH-].[Na+],CO,47.31
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[OH-].[Na+],CO,50.68
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[OH-].[Na+],CO,66.87
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[OH-].[Na+],CO,71.17
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[OH-].[Na+],CO,48.25
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[OH-].[Na+],CO,47.40
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[OH-].[Na+],CO,54.86
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,[OH-].[Na+],CO,48.88
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,[OH-].[Na+],CO,27.14
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[K+].[OH-],CO,45.35
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[K+].[OH-],CO,71.25
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[K+].[OH-],CO,42.29
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[K+].[OH-],CO,49.58
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[K+].[OH-],CO,80.86
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[K+].[OH-],CO,79.71
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[K+].[OH-],CO,65.44
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[K+].[OH-],CO,29.72
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[K+].[OH-],CO,78.04
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,[K+].[OH-],CO,35.52
